Geneid,U251_WT_1,U251_WT_2,U251_WT_3,U251_N2KO_1,U251_N2KO_2,U251_N2KO_3
27242,1757,1243,1146,2027,2181,2469
23607,3153,2532,1896,1663,1610,2018
222611,8,0,0,0,0,0
221393,0,0,0,0,0,0
221391,4,3,2,7,6,4
442213,125,183,103,553,526,580
4594,3274,2827,2460,2588,2878,3056
55166,885,651,593,629,616,721
389396,0,0,0,0,0,0
135398,1964,1029,934,707,686,767
6005,0,0,4,0,0,0
7180,0,0,0,0,0,0
10321,0,0,0,0,0,0
5232,3,0,0,0,0,1
101927020,0,0,0,0,0,0
101927048,0,0,0,0,0,0
167,0,0,0,0,0,0
403339,0,0,0,0,0,0
245928,0,0,0,0,0,0
245927,0,0,0,0,0,0
245913,0,0,0,0,0,0
245915,0,0,0,0,0,0
83741,0,0,0,0,0,0
7021,11,12,15,3,0,0
5314,0,0,0,0,2,0
101927082,0,0,0,0,0,0
406989,0,0,0,0,0,0
442890,0,0,0,0,0,0
3605,0,0,0,0,0,0
112744,0,0,0,0,0,0
4172,9325,5642,4894,6682,7692,7969
85315,615,424,387,665,626,798
114327,960,722,547,827,817,950
9697,8966,6838,5832,8775,9808,10634
401264,293,199,209,165,232,190
730101,347,251,191,213,201,250
28978,697,710,682,485,541,664
730152,0,0,0,0,0,0
2939,0,0,0,0,0,0
2938,0,0,0,0,0,0
221357,0,0,0,0,0,0
2940,0,2,0,0,3,0
2941,1077,824,703,318,393,493
125050,182,150,118,101,128,126
22858,3005,2206,1925,2016,1873,2245
26268,2505,1623,1581,1461,1471,1563
105375092,0,0,0,0,0,0
8521,8,4,0,0,0,0
60481,16808,16506,14186,10522,11040,12273
100847075,2,0,0,0,0,0
647190,2,0,0,0,0,0
2729,1874,1241,1127,950,960,1008
101927136,0,0,0,0,0,0
101927171,0,0,0,0,0,0
401265,7,12,10,10,12,4
55227,737,527,436,382,405,467
101927189,6,8,1,2,0,4
100874282,0,0,0,0,0,0
90523,0,6,0,0,0,0
27283,0,0,0,0,0,0
222584,0,0,0,0,10,2
3062,5,2,7,0,2,2
389400,0,0,0,0,0,0
54511,22,19,11,2,5,8
653,0,0,0,0,2,0
81578,904,901,693,570,570,612
667,13177,11734,8120,11194,9057,9303
101930010,0,0,0,10,0,4
221336,458,306,324,262,254,276
57691,528,410,326,429,435,487
26036,1975,1551,1369,1274,1399,1645
101927211,1,2,5,0,2,2
9532,3696,2595,2482,1913,2164,2393
51715,1513,1148,1014,1375,1578,1691
100506188,0,0,0,0,0,0
5558,1512,953,870,994,1209,1219
100422884,0,0,0,0,0,0
100189249,0,0,0,0,0,0
100189085,0,0,0,0,0,0
375513,440,278,280,351,369,391
100463487,0,0,1,1,0,2
202559,0,0,0,0,0,0
51557,7,12,4,3,2,14
7803,8153,6164,5399,5350,5353,6203
23469,3831,3233,2353,3140,2992,3661
346007,20,13,11,10,16,15
441155,50,25,32,22,29,26
442229,0,0,0,0,0,0
102723883,0,0,0,0,0,0
101928280,0,0,0,0,0,0
101928307,5,4,0,6,2,2
577,25,21,9,34,27,44
55788,605,624,626,548,587,705
1310,0,15,4,3,2,4
1297,0,0,0,0,0,0
101928353,0,0,0,0,0,0
57579,681,491,454,385,358,431
135154,87,86,76,73,99,96
60682,1948,1520,1189,855,860,947
135152,0,0,0,0,0,0
79627,2130,2017,1615,3045,2926,3417
407032,0,2,2,0,1,0
407029,0,0,0,0,0,0
79940,159,100,72,213,142,169
102724000,13,7,6,2,0,0
22999,64,31,30,10,12,8
56479,466,280,305,734,625,687
100507381,6,5,1,2,2,3
100423005,0,0,0,0,0,0
100873997,0,0,0,0,0,0
100129128,0,0,0,0,0,0
80759,287,161,161,130,189,174
340168,0,0,0,0,0,0
154288,0,0,0,0,0,0
441161,0,0,0,0,0,0
55510,0,0,0,0,0,0
115004,0,0,0,0,0,0
25821,1158,724,697,638,731,655
1915,311545,238803,230150,198133,221085,242627
26503,408,300,294,434,413,424
135228,6748,6916,5458,6233,6009,6895
101928489,41,16,7,38,19,46
101928516,2,0,0,0,2,6
1303,23907,21027,15723,65162,61487,59427
1347,3275,2705,2819,1711,2053,2211
55754,7368,6446,5629,5182,4918,5753
100506804,31,15,8,2,11,12
27145,91,51,31,18,11,20
101928540,0,0,0,0,0,0
100616389,0,0,0,0,0,0
26054,3782,2827,2415,2583,2557,2990
4646,2666,2198,1627,1829,1858,1959
3617,4,0,2,11,2,2
3351,0,6,0,0,2,0
101928601,0,0,0,0,2,0
134728,190,160,115,164,139,179
55023,4356,3374,2468,2671,2194,2574
9324,2420,2355,2116,1292,1352,1353
100288198,62,50,39,55,36,60
80078,0,0,0,4,2,0
167691,708,546,431,456,385,438
105377866,37,20,9,16,16,17
83699,543,487,416,351,332,384
89758,0,0,0,0,0,0
6785,425,472,455,392,413,406
7272,4930,3296,2819,1575,1483,1801
594,1294,846,822,736,681,885
55603,2565,1700,1488,1505,1413,1571
101928770,0,0,0,0,0,0
25998,4053,3236,2556,2082,1991,2203
7162,3691,2918,2560,3755,3789,4271
90025,243,141,176,133,131,132
23033,930,622,499,509,444,521
5238,2420,1585,1572,987,1043,1147
112611,395,259,210,262,228,303
4199,0,6,2,0,0,2
167681,884,894,839,49,70,39
9892,51,39,31,124,72,117
105378158,0,0,0,0,0,0
134701,7,6,0,12,8,4
51167,1352,980,964,647,678,720
112609,102,63,93,106,146,106
22832,399,385,268,419,371,412
9096,2,0,0,0,0,1
102724201,0,0,0,0,0,0
4907,1287,903,883,1651,1841,2055
57231,2531,2400,2225,1635,1607,1806
10492,17003,11987,10027,11226,11163,12514
387066,376,237,229,168,220,233
26799,3,0,0,0,0,3
692088,25,22,14,21,4,6
3354,0,0,0,0,0,0
1081,14,8,11,8,0,0
101928870,8,4,1,8,8,3
23036,2089,1505,1220,1655,1356,1643
375519,0,0,5,4,0,2
57150,201,169,166,138,166,191
206412,11,13,12,2,19,8
63914,10,8,9,0,0,0
154313,80,77,44,6,6,12
10559,617,535,449,338,496,418
57038,1847,1459,1298,955,1093,1177
23595,2843,1877,1758,1203,1259,1218
55122,5520,3923,3595,2311,2510,2622
101928911,0,0,0,0,0,0
81833,0,0,0,0,0,0
1268,1622,1478,1315,90,79,70
101928936,0,0,0,0,0,0
8732,2726,1918,1605,1308,1387,1540
10957,1401,1100,1014,1070,1127,1189
135295,216,103,74,65,54,73
135293,1395,1085,976,1621,1609,1830
2569,0,0,0,0,0,4
2570,60,28,37,28,23,25
51465,4172,3012,2722,2968,2954,3628
58528,1392,940,729,902,1047,1129
22881,498,407,350,361,343,450
57226,3394,2410,2213,1754,1856,2195
101929057,30,20,24,2,2,2
23195,1715,1018,729,1493,1355,1235
9994,1621,1256,1001,1231,1100,1439
84694,0,0,0,0,0,0
60468,78,61,66,70,104,79
100616109,0,0,0,0,0,0
6885,3451,2803,2353,1988,1994,2586
100616174,0,0,0,0,0,0
101929083,0,0,0,0,0,0
102724665,0,0,0,0,0,0
2045,6,5,10,0,2,0
643432,0,0,0,0,0,0
101927288,0,14,0,14,2,2
79694,853,964,749,677,710,821
10690,0,0,0,0,0,0
23376,1527,1688,1340,1231,1158,1330
9457,0,0,0,0,0,0
81491,70,37,33,30,39,94
29078,585,501,434,309,378,382
114792,6,2,7,2,4,6
253714,1262,850,746,1037,931,1171
101927314,4,5,4,0,0,0
100302164,0,0,0,0,0,0
5454,6300,4583,4113,520,635,561
26235,428,382,324,266,337,447
100616347,0,0,0,0,0,0
84553,820,630,592,585,636,652
51805,327,235,191,153,201,172
25957,4046,3203,2276,2738,2194,2373
101927365,68,48,41,24,36,34
85015,533,406,293,436,394,436
100130890,132,119,71,58,46,76
892,2309,1777,1627,1338,1512,1675
59336,0,0,0,0,0,0
84539,0,0,0,0,0,0
728012,0,0,0,0,0,0
6492,1188,916,714,243,241,260
10973,4478,2948,2489,2373,2155,2505
2898,565,577,417,48,45,56
57531,843,611,485,471,503,556
100113403,0,0,0,0,0,0
389421,7,4,0,15,4,7
11149,14131,12424,10548,2624,2626,2782
154442,91,89,65,28,11,14
64208,2440,1935,1663,522,718,565
5550,8352,6176,5096,2315,2363,2585
639,1073,696,556,952,831,1040
9474,2463,1857,1838,1314,1482,1564
202,7883,4962,4207,4497,4556,4919
101927405,0,0,0,0,0,0
84816,496,276,363,190,261,258
55278,1247,879,862,694,766,781
100422737,0,0,0,0,0,0
693172,0,0,0,0,0,0
100133941,8502,6480,6151,6301,6996,7713
51250,472,444,324,257,304,368
57673,722,370,323,597,630,654
57107,1197,807,695,587,567,757
55084,845,625,507,1543,1489,1887
256380,0,0,0,0,1,1
11231,4227,3734,3159,3550,3575,3969
28962,3361,3521,3182,2504,2696,3004
7101,1287,863,751,422,452,489
8724,8331,6262,5945,3740,4434,4640
246269,216,218,134,185,162,144
2309,3734,2566,2189,2519,2555,2726
387111,0,4,4,0,0,2
84071,120,57,117,65,89,59
101929716,0,1,0,0,0,0
27244,337,295,212,151,212,253
285753,861,675,580,561,611,671
100996634,2,0,2,0,0,0
221262,4,0,4,0,0,0
8763,9032,8536,7756,7208,7872,9059
285755,70,64,77,64,83,91
6610,507,292,312,209,179,244
64780,3152,1764,1623,3104,2876,3204
9841,897,683,585,524,626,654
221264,278,310,255,301,263,283
9896,1052,779,679,477,563,637
2830,0,0,0,0,0,0
8936,2217,1729,1378,1345,1327,1535
51362,2055,1511,1226,923,983,1164
728464,0,0,0,0,0,0
8528,377,216,279,143,190,203
85413,2,0,4,0,0,2
23097,2957,2151,1714,2060,2029,2256
262,7631,5173,4875,3953,4418,4947
112495,2895,1919,1698,1041,1179,1402
84154,2563,1679,1622,1545,1725,1995
442245,0,1,0,2,1,1
117247,26,21,12,31,38,24
91749,282,219,201,199,181,212
5980,2214,1517,1041,2144,1880,2140
643749,198,115,115,123,132,159
10758,1536,888,780,475,602,497
2534,2862,1942,1720,1267,1225,1391
102724646,2,3,0,0,0,0
8838,0,0,6,1,2,0
51175,369,275,268,227,258,327
619208,466,427,430,232,334,384
3910,11372,9258,7691,9381,9381,10216
101927640,0,2,0,0,0,2
442247,6,0,0,2,0,0
101927686,0,1,0,4,0,0
4082,25589,17633,15779,15133,16281,18297
285758,50,42,28,21,13,22
285759,4,0,0,2,6,2
3066,9224,6996,6212,6253,6570,7351
101927768,11,6,6,9,6,18
222537,30,24,26,9,20,11
2444,26,24,4,6,4,2
728402,2,1,0,2,1,0
221294,2017,1278,1155,725,913,1015
1300,1,0,4,3,4,2
23270,2681,1782,1669,2224,2411,2705
7259,8317,5461,4844,4187,4405,4825
29940,1472,1236,1229,1414,1400,1491
441168,4,2,0,0,0,0
100128327,8,4,5,2,0,0
254228,658,525,503,411,363,566
221301,2,2,0,0,0,0
51389,1529,1405,1396,1135,1284,1351
345895,131,88,70,70,70,72
221302,755,645,438,344,353,455
3841,296,251,174,160,176,197
221303,0,0,0,0,0,0
222545,0,0,0,0,0,0
222546,0,0,0,0,0,0
245806,145,96,95,113,171,169
6098,682,499,408,116,62,60
285761,2386,2175,1885,2022,2123,2260
57120,5395,3914,3332,3119,3005,3148
101927919,17,10,12,4,6,16
116150,3428,2773,2402,1843,2029,2271
222553,141,99,126,22,34,30
102724896,0,0,0,0,0,0
387119,490,427,250,405,437,588
23629,0,0,0,0,0,0
5350,2,4,0,4,6,2
100287632,0,0,0,0,0,0
254394,486,378,338,278,373,368
25842,2114,1634,1320,1038,1284,1295
79632,376,294,177,165,203,266
693128,0,0,0,0,0,0
4121,963,922,793,1647,1728,1909
285762,0,0,0,0,0,0
100422951,0,0,0,0,0,0
221322,264,206,188,230,235,230
2697,6938,6309,5626,2774,3022,3283
3298,1219,903,832,708,800,738
57515,7245,6522,5657,6424,6635,7879
5570,265,164,152,583,709,662
2173,3449,3888,3156,1513,1775,1765
10924,322,329,280,340,374,473
134829,10,2,8,2,2,4
10345,0,0,0,0,0,0
101927990,0,0,0,0,0,0
154215,22,23,29,15,8,10
7955,27,18,12,13,22,11
154214,3988,3064,2308,1606,1624,1733
7164,627,456,407,465,466,519
51020,2016,1511,1463,977,1053,1230
643623,0,0,0,0,0,0
23493,262,180,112,12,17,26
100189269,0,0,0,0,0,0
135112,1000,777,650,769,704,880
104355145,1,0,0,0,0,0
135114,1482,1138,1022,922,955,1158
60487,685,490,399,364,332,435
387103,1049,778,640,419,583,475
693173,0,0,0,0,2,0
84870,22,45,18,23,25,58
81847,1531,1238,934,1094,1172,1167
55862,3491,2751,2460,1805,1984,2305
387104,515,312,255,283,228,259
9729,0,1,0,0,0,1
352999,0,0,0,2,0,2
387357,0,0,0,0,0,0
5796,60,50,40,211,42,217
101928140,0,0,0,0,0,0
3908,126,167,112,121,129,131
93663,4174,3175,2749,1958,2040,2504
253582,17,17,11,2,5,4
84456,687,514,274,344,315,364
154075,6,2,0,2,10,2
105378159,11,10,7,11,10,12
114801,419,284,295,247,294,337
100507203,9,0,1,0,0,0
2037,10570,8004,6771,4807,4707,4952
9465,400,298,268,207,167,197
383,4,0,0,2,0,0
9439,2246,1695,1295,1399,1234,1523
5169,4,2,0,6,4,2
79541,0,0,0,0,0,0
643854,0,0,2,0,0,0
100616455,0,0,0,0,0,0
5167,799,632,523,618,622,739
1490,7230,6670,6095,7141,7902,8218
100616191,0,0,0,0,0,0
100507254,0,0,2,0,0,0
26002,11500,9948,8964,5179,5525,5768
8417,2228,1913,1712,1327,1422,1350
134860,0,0,0,0,0,0
83551,0,0,0,0,0,0
319100,0,0,0,0,0,0
9038,0,0,0,0,0,0
9287,0,0,0,0,0,0
9288,0,0,0,0,0,0
134864,0,0,0,0,0,0
8876,0,0,0,0,0,0
55350,0,0,0,0,0,0
8875,0,0,2,0,0,0
116843,694,625,513,279,319,468
6206,12839,10243,9995,8765,10400,10768
594837,14,12,18,11,24,9
594838,10,8,4,9,2,4
594839,20,6,13,12,14,22
285735,4,8,0,6,11,14
2070,5456,4176,3391,3963,3710,4625
100507308,12,3,11,4,2,2
154089,0,0,0,0,0,0
6943,2,0,0,0,0,0
9519,909,815,670,540,541,705
154091,2254,2131,1804,1977,2158,2416
387065,0,0,0,0,0,0
6446,1964,1354,1119,755,705,865
101928231,0,10,0,0,0,0
154092,4,4,4,0,0,0
101928304,3,7,0,0,0,0
64577,8,16,15,10,4,0
10767,3778,2768,2640,2270,2386,2657
100500880,1,3,0,0,0,0
4602,102,116,71,114,129,177
693126,0,0,0,0,0,0
54806,1012,812,679,750,707,881
100131814,4,4,0,0,1,10
27115,4,4,0,1,2,2
113115,561,379,286,152,214,299
9774,12328,9478,7330,6291,5777,6363
9053,676,845,704,308,291,258
4217,1058,638,567,725,708,754
101928461,2,5,0,2,0,2
101928429,0,0,0,0,0,0
5191,187,164,137,107,103,134
340146,4,6,0,4,2,0
100294720,0,0,0,0,0,0
53832,113,100,66,47,81,70
116379,2,0,0,0,0,0
3459,1152,1208,1070,1118,1239,1486
167826,0,0,0,0,0,0
102723649,0,0,0,0,0,2
100507406,0,0,0,0,0,0
100130476,6,1,2,8,0,7
7128,415,245,265,305,334,355
64065,0,1,2,0,0,1
57221,1908,1052,941,2072,1785,2046
59351,0,0,0,0,0,0
23593,1656,1373,1314,1158,1317,1358
57224,1333,1030,773,1267,1178,1271
100423001,0,0,0,0,0,0
441172,72,75,61,133,112,148
100507462,20,24,14,9,12,5
25901,641,427,372,387,453,576
345930,4,3,0,8,2,3
85021,2262,1415,1319,896,987,1041
58527,814,724,656,450,554,534
51696,929,510,430,482,526,623
167838,25,23,6,28,14,24
10370,2054,1328,1234,953,912,1116
645434,0,0,0,0,0,0
100132735,0,0,0,0,0,0
100507477,0,0,0,0,0,0
103352541,0,0,0,0,0,0
100500879,0,0,0,0,0,0
100616180,0,0,0,0,0,0
4829,3,17,4,5,0,8
51534,4193,3115,2947,2250,2230,2524
57211,358,317,336,664,608,759
153910,0,0,0,6,0,2
3097,847,719,585,864,794,926
100507489,2,0,3,0,2,0
51390,1179,1012,913,809,821,1059
134637,363,274,175,315,235,238
8504,777,662,517,397,525,549
2519,4120,3131,3022,2584,2737,3009
285740,0,0,0,0,0,0
9749,816,600,466,676,716,842
84946,1993,1524,1413,1192,1223,1257
153918,0,0,0,0,0,0
5325,956,642,614,652,656,651
57061,0,0,0,0,2,0
83443,3254,2093,2238,1404,1719,2017
8676,62,24,56,18,29,14
100189313,0,0,0,0,0,0
7402,4418,3220,2549,4507,3783,3880
100189422,0,0,0,0,0,0
7957,402,281,224,205,273,238
100507557,37,26,13,36,26,33
84085,1610,1419,1165,916,887,1060
257218,859,784,594,647,509,693
2911,25,55,19,98,84,108
10981,1906,1304,1371,1443,1714,1815
101928661,0,0,0,0,0,0
79747,0,0,0,0,0,0
729176,60,62,50,47,41,53
729178,5,4,0,1,0,0
134957,975,724,572,575,587,623
389432,518,334,333,72,77,67
23328,1916,1392,1125,412,400,488
10090,1174,1137,878,902,901,1029
100128176,0,0,0,0,0,0
23118,8841,6758,5648,3641,3724,4207
387082,6,14,0,0,0,0
340152,10,4,0,3,2,0
85313,2038,1601,1325,1211,1186,1407
116254,2209,2049,1677,1404,1505,1674
645958,76,73,43,33,47,53
11104,1185,880,831,555,609,676
9113,2361,1708,1433,1803,1620,1911
348995,3386,1940,1869,1785,1944,2128
5110,4336,3353,3013,1945,2105,2390
84918,2111,1856,1582,2038,2269,2488
100652739,0,0,0,0,0,0
135250,16,9,22,5,19,25
353091,16,38,28,24,33,27
80328,942,893,725,336,328,334
80329,0,2,1,1,0,0
646024,93,79,44,47,61,38
154064,112,61,64,7,11,23
79465,333,257,223,133,115,91
81706,868,571,490,176,173,240
389434,0,0,0,0,0,0
57480,9761,6814,5805,1412,1406,1512
105378056,0,0,6,2,0,0
25902,2822,1844,1633,1503,1490,1619
102723831,0,0,0,0,0,0
9590,12367,12025,9055,18433,18934,20153
57621,1656,1076,999,1111,1164,1241
55005,1045,680,660,580,526,606
79624,1324,972,913,652,701,839
80129,18,11,18,2,10,7
2099,6,0,2,13,6,16
23345,1459,965,713,1372,1353,1291
100505475,0,0,0,0,0,0
80177,0,0,6,0,0,0
7432,2,0,0,0,2,0
26271,2172,1578,1339,1519,1664,1804
54516,1468,976,958,710,693,893
26575,103,114,93,249,200,246
4988,0,0,0,2,0,0
26034,214,158,140,12,19,24
154043,1619,964,816,704,738,919
101928868,6,6,4,12,4,17
22828,3978,2974,2590,2731,2704,3114
100422821,0,0,0,0,0,0
26230,147,113,99,142,164,102
51106,687,565,473,415,437,494
49861,2,3,0,6,8,6
50508,0,0,0,0,0,0
100302259,0,0,0,0,0,0
57492,5235,3209,2713,1893,2039,1978
100616154,0,0,0,0,0,0
729515,884,706,607,233,240,264
79683,647,414,397,237,281,236
100500899,0,0,0,0,0,0
51429,4090,3021,2414,1855,1868,2091
8871,5606,3476,2953,1894,1771,1927
100874300,0,0,0,0,5,0
84947,1043,570,523,586,574,680
404672,1152,1120,987,753,838,915
56995,4785,2660,2036,2550,2690,2708
57583,3122,2694,2362,2807,2643,3088
102465694,5,7,0,2,0,3
6993,2403,1835,1834,1291,1458,1617
94120,54,9,30,18,38,18
100500851,0,0,0,0,0,0
7430,19263,13632,12274,6657,6697,7094
101409257,4,0,0,0,0,0
202459,2,3,0,3,1,0
100130967,0,0,2,0,0,0
83861,404,370,389,346,254,438
117289,0,1,0,2,8,7
105378081,0,0,0,0,0,0
101929122,0,0,0,2,0,0
84624,0,0,0,0,0,0
102724053,0,0,0,0,0,0
6648,3117,2227,1893,2449,2608,3029
9589,6073,4576,4240,3065,3502,3974
100129518,45,20,21,25,34,25
39,3279,2410,2230,1622,1844,1847
6950,20172,12452,12125,8114,8577,9058
677806,4,8,4,0,4,4
677812,2,15,3,4,6,2
29074,4148,2925,2727,1689,1893,1981
154197,9,10,1,1,1,2
4142,0,0,0,0,0,0
3482,18814,14814,12108,15202,15813,14745
100271873,0,0,0,0,0,0
729603,51,37,30,81,81,64
6580,12,4,8,13,8,7
6582,0,0,0,0,0,0
6581,2,0,0,0,0,0
80350,38,15,16,21,26,17
4018,2,0,0,1,0,0
5340,0,0,1,6,0,2
4216,8796,5921,5186,4764,5117,5641
56895,971,758,717,517,578,622
79992,12,8,6,8,7,1
5071,51,23,21,20,31,29
135138,35,18,9,12,4,2
101929239,0,0,0,0,0,0
729658,0,0,0,0,0,0
285796,0,0,0,0,0,0
401282,0,2,2,0,0,0
105378101,2,2,2,2,0,0
100526820,0,0,0,0,0,0
9444,13646,11671,9276,4407,4290,5073
105378105,0,0,0,0,0,0
